"","2020-09-02_to_2023-01-13_Index_7QRank","2020-09-02_to_2023-01-13_TSX60_Index"
"2022-01-21",-5.52756975934181,-4.38412601843603
"2022-01-24",-5.85118763343127,-4.60981389232039
"2022-01-25",-5.36191067086703,-4.53204265788123
"2022-01-26",-5.16909885101876,-4.45732022699298
"2022-01-27",-5.70716518031421,-4.6273502435719
"2022-01-28",-5.14071444534085,-3.85727136972506
"2022-01-31",-3.52381324208305,-2.2561069865664
"2022-02-01",-1.53435755657017,-1.28473830835416
"2022-02-02",-1.25690659463241,-0.953832326960746
"2022-02-03",-2.54394742344312,-2.20349793281187
"2022-02-04",-1.64847355093081,-1.33353444739214
"2022-02-07",-1.61195183203607,-1.54321419235628
"2022-02-08",-1.26118595204764,-0.914946709741149
"2022-02-09",0,-0.0396497283852382
"2022-02-10",0,-0.336247118441291
"2022-02-11",0,-0.288207449457301
"2022-02-14",-1.11395274704379,-1.26262493122045
"2022-02-15",-0.464834780749834,-0.648088526251922
"2022-02-16",-0.855851778264527,-1.30990048903878
"2022-02-17",-1.68396633614509,-2.28889499668414
"2022-02-18",-2.84533153365649,-2.89275676866865
"2022-02-22",-3.3444227614803,-3.36471767123981
"2022-02-23",-3.82090483094137,-4.17521038463753
"2022-02-24",-3.18652945041121,-4.146242930348
"2022-02-25",-1.50702523850841,-2.43147049908151
"2022-02-28",-0.992066728211427,-2.5260216147182
"2022-03-01",-1.05299766210294,-3.27093830788042
"2022-03-02",0,-1.94198088637049
"2022-03-03",0,-1.84209627479761
"2022-03-04",0,-0.995766747731242
"2022-03-07",0,-1.41283390416259
"2022-03-08",0,-2.00373635077776
"2022-03-09",0,-0.778468814445632
"2022-03-10",0,-0.437652311233794
"2022-03-11",-0.637152997796664,-0.911133795024599
"2022-03-14",-3.24858835474584,-1.9259651163386
"2022-03-15",-4.22987801628557,-1.99306171779372
"2022-03-16",-3.2949521463525,-0.779232925611262
"2022-03-17",-1.39033005538873,0
"2022-03-18",-0.924287701332993,0
"2022-03-21",0,0
"2022-03-22",0,0
"2022-03-23",0,-0.818395857753285
"2022-03-24",0,-0.786975898244624
"2022-03-25",0,-0.450345255949713
"2022-03-28",0,-0.423408507079615
"2022-03-29",0,-0.0830368579140872
"2022-03-30",0,-0.147368681475013
"2022-03-31",0,-1.05404180556434
"2022-04-01",0,-0.762288251701526
"2022-04-04",0,-0.0516168984054266
"2022-04-05",-1.55937487579442,-0.533374616856053
"2022-04-06",-2.48773286604618,-1.08172075820239
"2022-04-07",-1.29975507205534,-1.02711255370199
"2022-04-08",-0.709320681118708,-0.926870062986118
"2022-04-11",-1.96320461299602,-1.21263350765126
"2022-04-12",-1.46012836716938,-1.63455011018727
"2022-04-13",-0.0632977666385703,-1.3031523793066
"2022-04-14",-0.0459051531945365,-1.18420485423755
"2022-04-18",0,-1.11837362912528
"2022-04-19",0,-0.41667619411403
"2022-04-20",0,-0.587240617588503
"2022-04-21",-2.90988426880675,-1.98764418151606
"2022-04-22",-5.09613062654598,-4.10619361547322
"2022-04-25",-6.38698017116727,-4.92833048009713
"2022-04-26",-7.81282625234846,-6.29582217997242
"2022-04-27",-5.52586064408105,-6.06615884435126
"2022-04-28",-3.36042890945069,-4.39719746856035
"2022-04-29",-5.08672727604779,-6.0758824634118
"2022-05-02",-5.10337816847594,-6.1626603281965
"2022-05-03",-3.75418824902344,-5.23055735379617
"2022-05-04",-2.44704351712938,-4.1293893574727
"2022-05-05",-5.34459503882077,-6.24494748533492
"2022-05-06",-5.51437429083845,-6.44618216754237
"2022-05-09",-9.91923322578864,-9.04949562006064
"2022-05-10",-10.672239993339,-9.53723595070117
"2022-05-11",-10.7969969836473,-9.73997003446
"2022-05-12",-11.4072001122452,-10.2681117399018
"2022-05-13",-9.02101014071874,-8.73754512730106
"2022-05-16",-8.09666888094904,-8.29767319118757
"2022-05-17",-6.32050207470529,-7.17331694987239
"2022-05-18",-8.3062961462275,-8.88790511487103
"2022-05-19",-7.43688177423395,-8.70836677311169
"2022-05-20",-6.92776055537969,-8.54828316648117
"2022-05-24",-6.70862090435166,-8.06875955634208
"2022-05-25",-6.1319743286227,-7.71043257359906
"2022-05-26",-5.18034104134908,-7.14263919413164
"2022-05-27",-3.58699318124728,-6.08635578324801
"2022-05-30",-2.55398105093737,-5.34127316434828
"2022-05-31",-4.27987834653694,-6.13199006946352
"2022-06-01",-3.4668618694805,-6.20305420599003
"2022-06-02",-2.16024693517485,-4.90963294275172
"2022-06-03",-3.15608760658418,-5.98761269408348
"2022-06-06",-3.06593480924098,-5.90756714226435
"2022-06-07",-1.79608469903821,-5.49836546488383
"2022-06-08",-2.37660427815232,-6.15293670913596
"2022-06-09",-3.5452211438881,-7.11645964304497
"2022-06-10",-5.29400838997482,-8.48544324746385
"2022-06-13",-7.99371936781004,-10.6406530493517
"2022-06-14",-8.74934709676536,-11.3842437637078
"2022-06-15",-9.10095465591061,-11.2219110547503
"2022-06-16",-12.8190031571264,-13.8641189835107
"2022-06-17",-13.8179589576921,-14.08255929852
"2022-06-20",-12.2751141017659,-12.8826407160242
"2022-06-21",-11.7076938866137,-12.6193158155751
"2022-06-22",-14.2371544996293,-13.5656331166823
"2022-06-23",-16.7710357081715,-14.7947300533674
"2022-06-24",-14.174120362158,-13.3531829108707
"2022-06-27",-12.8148709585847,-12.5100994065743
"2022-06-28",-12.5037593185467,-12.7442459528341
"2022-06-29",-14.1626324904647,-13.2162800522241
"2022-06-30",-15.4642446662968,-14.2381596945119
"2022-07-04",-14.9102308794448,-13.5469355793369
"2022-07-05",-16.7195810466004,-14.1611054487877
"2022-07-06",-17.7173309687178,-14.6563352901773
"2022-07-07",-15.268445069847,-13.3868444756986
"2022-07-08",-15.9337878993803,-13.5476852801126
"2022-07-11",-17.4768055128462,-14.3997427026938
"2022-07-12",-18.5413534413358,-15.0206448851102
"2022-07-13",-18.9113289133453,-15.3393276908354
"2022-07-14",-20.0777844555525,-16.7838661394271
"2022-07-15",-19.3314425196536,-16.5048350077275
"2022-07-18",-18.3451906671778,-15.79864686507
"2022-07-19",-16.4908868233102,-14.2822945791761
"2022-07-22",-17.551536085762,-14.0099957604421
"2022-07-26",-17.3315365775412,-14.0758269855544
"2022-07-27",-15.6039788237585,-12.8168094909119
"2022-07-28",-15.0287428165514,-12.0747181781072
"2022-07-29",-13.3307206352611,-11.1306424823192
"2022-08-02",-14.8118158237528,-11.9303333057194
"2022-08-03",-15.6869976555753,-11.6266220244845
"2022-08-04",-15.9954367761476,-11.4238879407257
"2022-08-05",-15.0201765031469,-11.2600633272245
"2022-08-08",-14.4968803766627,-11.2697869462851
"2022-08-09",-14.8602885111196,-11.5952020649758
"2022-08-10",-14.0390196641865,-10.2127538346258
"2022-08-11",-12.8522233487293,-9.73323022448666
"2022-08-12",-11.7517333957376,-8.88491380877607
"2022-08-15",-11.936162698027,-8.80187695086199
"2022-08-16",-11.7708778645171,-8.30515520492884
"2022-08-17",-12.0073624729079,-8.6350610312659
"2022-08-18",-11.0839094242504,-8.29917259273892
"2022-08-19",-12.1678056802251,-8.88939701941462
"2022-08-22",-12.3574009682769,-9.43250275233897
"2022-08-23",-11.3732335546868,-9.60081807348643
"2022-08-24",-10.5333798858374,-9.63299523077852
"2022-08-25",-9.61739292865408,-8.93428910186223
"2022-08-26",-11.2453424247712,-10.1775928682465
"2022-08-29",-10.7470137861718,-10.3384261756526
"2022-08-30",-12.7206590854232,-11.8368231279691
"2022-08-31",-13.3237003496391,-12.7494863612561
"2022-09-01",-14.8939207677135,-13.4205060405266
"2022-09-02",-14.0040997781762,-12.8579530694811
"2022-09-06",-14.931138313901,-13.7145011997087
"2022-09-07",-15.1349551859364,-12.9664197777062
"2022-09-08",-14.41851419513,-12.172711566496
"2022-09-09",-12.6308394389694,-10.5142310075491
"2022-09-12",-11.81760456054,-9.64795176125328
"2022-09-13",-13.0077531944974,-11.1874997891466
"2022-09-14",-12.2531231110227,-10.9054773513521
"2022-09-15",-13.8457843749593,-11.5697647176571
"2022-09-16",-14.4928313517073,-12.2789441664096
"2022-09-19",-13.5539681801276,-11.4852359551994
"2022-09-20",-14.2578098598454,-12.2774447648582
"2022-09-21",-15.7503725131598,-13.1833681881719
"2022-09-22",-16.4580190841216,-13.7601429829319
"2022-09-23",-19.7179214931701,-16.0200784861742
"2022-09-26",-20.6822029065278,-16.6185421243746
"2022-09-27",-19.8671659278497,-16.8100456905138
"2022-09-28",-18.0626393344825,-15.4178738411032
"2022-09-29",-18.4707328484642,-16.3050922300637
"2022-09-30",-18.7717560547642,-16.4322714696497
"2022-10-03",-16.3213293651551,-14.5523517925908
"2022-10-04",-13.89409542732,-12.3874108746347
"2022-10-05",-13.5452151024549,-13.0315013020428
"2022-10-06",-13.9321125705168,-14.3720637500558
"2022-10-07",-15.1591243058537,-16.0245616968128
"2022-10-11",-17.0974978270723,-17.6501453857229
"2022-10-12",-17.2355624046347,-17.7765599305177
"2022-10-13",-15.4455404388688,-15.8180941031911
"2022-10-14",-17.4056686953734,-17.0576643597124
"2022-10-17",-16.1507697242069,-15.7575032865008
"2022-10-18",-15.697562781142,-14.857562475377
"2022-10-19",-15.30429820091,-15.3221295550413
"2022-10-20",-15.1703822861162,-15.770225708664
"2022-10-21",-13.378587912528,-14.4708143362281
"2022-10-24",-13.3708320403305,-14.2658311501422
"2022-10-25",-12.6615542081195,-13.5387038648199
"2022-10-26",-11.2654359869909,-12.7741665107914
"2022-10-27",-11.6707364256481,-12.3200877449788
"2022-10-28",-11.2795045559286,-11.7395794403559
"2022-10-31",-11.350848334164,-11.9505377416239
"2022-11-01",-10.7974906474424,-11.5966939695194
"2022-11-02",-12.0144659130979,-12.5287969439198
"2022-11-03",-10.8342509085726,-12.7001110681699
"2022-11-04",-10.3294662237801,-11.8637523798314
"2022-11-07",-10.0136964235845,-11.5016918872255
"2022-11-08",-9.91565704554157,-11.0176850664479
"2022-11-09",-11.9604503415414,-12.2594894312807
