"Date","UNTR.JK","INDF.JK","INKP.JK","BRPT.JK","ADRO.JK","INCO.JK","SMGR.JK","BNLI.JK","CPIN.JK","MDKA.JK","BMRI.JK","MYOR.JK","TBIG.JK","GGRM.JK","TPIA.JK","ICBP.JK","BYAN.JK","BBNI.JK","AMRT.JK","ASII.JK","EMTK.JK","HMSP.JK","TOWR.JK","MEGA.JK","BBRI.JK","DNET.JK","TLKM.JK","BBCA.JK","UNVR.JK","ISAT.JK"
"2017-01-24",-1.19176598049837,8.47457627118644,3.58974358974359,529.496442222835,77.8350515463918,-16.3302752293578,-35.6746765249538,-55.802406944639,-8.02919708029197,NA,-7.56302521008403,69.8841698841699,-44.475138121547,16.9724770642202,616.666644481644,20.2127659574468,-25.2336448598131,-20.1438848920863,8.33333333333333,2.22222222222222,-23.7068965517241,41.650341324374,-13,21.4285714285714,-8.68725868725869,21.8579234972678,34.5955249569707,1.00671140939597,-2.32558139534884,54.1307028360049
"2017-01-25",-1.9501625135428,8.47457627118644,3.07692307692308,545.683464087208,79.3814432989691,-15.5963302752294,-33.271719038817,-53.0825550967821,-6.86131386861314,NA,-7.56302521008403,68.9189189189189,-44.475138121547,15.5963302752294,625.833369610372,21.9858156028369,-25.2336448598131,-20.863309352518,1.85185185185185,2.85714285714286,-23.7068965517241,43.0847751605702,-12.5,21.4285714285714,-9.65250965250965,22.4043715846995,34.2512908777969,0.335570469798658,-2.55813953488372,52.8976572133169
"2017-01-26",-0.75839653304442,8.47457627118644,5.64102564102564,543.884937408603,78.3505154639175,-11.1926605504587,-31.9778188539741,-53.0825550967821,-6.56934306569343,NA,-8.40336134453782,68.9189189189189,-44.475138121547,16.3302752293578,629.166693888595,21.2765957446809,-21.4953271028037,-19.4244604316547,-0.925925925925926,2.53968253968254,-23.2758620689655,43.0847751605702,-12.5,21.4285714285714,-9.26640926640927,20.2185792349727,35.6282271944923,2.68456375838926,-2.7906976744186,54.1307028360049
"2017-01-27",-0.440528634361234,11.1111111111111,8.06451612903226,569.172947261427,87.5,-11.0266159695817,-30.7692307692308,-53.5287823547722,-2.1671826625387,NA,-2.44444444444444,79.959100204499,-43.0372492836676,20.7692307692308,631.666687606611,23.9130434782609,-22.9813664596273,-11.5384615384615,1.88679245283019,8.7248322147651,-21.0412147505423,38.700181650179,-12.75,21.4285714285714,-2.49480249480249,20.2185792349727,38.4341637010676,8.45070422535211,-0.89126559714795,55
"2017-01-30",4.55607476635514,15.5555555555556,-8.03571428571429,564.794000884081,96,-16.6368515205725,-27.2,-53.4753297859724,13.2275132275132,NA,2.55813953488372,71.8903036238981,-41.0029498525074,25.6,601.587328691036,28.4090909090909,-22.9357798165138,-10.8949416342412,7.54716981132075,15.3284671532847,-21.551724137931,40.8087068918043,-12.6408010012516,15.9090909090909,1.0752688172043,18.9189189189189,47.6099426386233,14.6567717996289,-2.99295774647887,57.5
"2017-01-31",2.10280373831776,17.4074074074074,-6.69642857142857,576.029916596745,93.7142857142857,-15.2057245080501,-27.8,-53.8174234667411,9.34744268077601,NA,1.3953488372093,73.3594515181195,-41.5929203539823,23.5,603.968275158447,27.2727272727273,-22.9357798165138,-11.284046692607,7.54716981132075,16.0583941605839,-21.551724137931,39.0034670598581,-12.3904881101377,15.9090909090909,0.860215053763441,18.9189189189189,47.9923518164436,13.543599257885,-3.28638497652582,61.25
"2017-02-01",4.20560747663551,17.4074074074074,-5.80357142857143,568.539307375332,100,-8.40787119856887,-27.8,-54.1595172183052,11.1111111111111,NA,2.09302325581395,78.7463271302644,-41.7109144542773,25.4,604.761923334123,27.6515151515151,-22.9357798165138,-7.39299610894942,8.49056603773585,17.5182481751825,-21.551724137931,39.3645150262474,-13.6420525657071,15.9090909090909,2.79569892473118,18.9189189189189,50.6692160611855,14.4712430426716,-3.11032863849765,58.125
"2017-02-02",5.60747663551402,17.4074074074074,-7.58928571428571,562.921317549752,98.8571428571429,1.61001788908766,-25.6,-54.1595172183052,13.5802469135802,NA,2.32558139534884,82.664054848188,-41.5929203539823,24,609.52381562215,28.030303030303,-22.9357798165138,-6.22568093385214,7.54716981132075,18.2481751824818,-21.551724137931,40.0866109590258,-14.6433041301627,15.9090909090909,3.01075268817204,21.6216216216216,51.0516252390057,14.6567717996289,-2.46478873239437,59.375
"2017-02-03",7.47663551401869,16.6666666666667,-5.80357142857143,592.883878551309,96.5714285714286,-0.894454382826476,-26.4,-54.8437002613298,13.9329805996473,NA,3.02325581395349,86.0920666013712,-39.5280235988201,23.6,615.079356732647,28.030303030303,-22.9357798165138,-7.00389105058366,5.66037735849057,18.2481751824818,-21.551724137931,41.1697548581936,-14.6433041301627,15.9090909090909,3.2258064516129,21.6216216216216,51.0516252390057,14.8423005565863,-1.40845070422535,59.375
"2017-02-06",8.71613663133098,16.9117647058824,-5.2863436123348,658.620704912698,98.8571428571429,-12.258064516129,-29.1984732824427,-53.8730141923474,13.0890052356021,NA,-0.219298245614035,82.1256038647343,-41.8604651162791,28.386092371562,605.468697269344,25.4113345521024,-22.2222222222222,-8.01526717557252,-1.75438596491228,10.5442176870748,-18.018018018018,46.6907724571327,-12.9113924050633,23.4866828087167,2.5531914893617,23.6559139784946,42.9602888086643,13.8686131386861,-7.69230769230769,62.4203821656051
